Genre,Publisher,Rank,Year,Global Sales,min(1),Name,North America Sales,% Europe,% Japan,% North America,% Other,Europe Sales,Japan Sales,Number of Video Games,Other Sales,Platform
Racing,Zoo Digital Publishing,7805,2008,0.19,1,Jeep Thrills,0.18,0%,0%,95%,5%,0,0,1,0.01,Wii
Racing,Ubisoft,9285,2008,0.14,1,Nitrobike,0.11,7%,0%,79%,7%,0.01,0,1,0.01,Wii
Racing,Xplosiv,4142,2008,0.48,1,Ford Racing Off Road,0.06,83%,0%,13%,2%,0.4,0,1,0.01,Wii
Racing,Zoo Digital Publishing,5607,2008,0.32,1,Bigfoot: Collision Course,0.3,0%,0%,94%,6%,0,0,1,0.02,Wii
Racing,Eidos Interactive,5877,2008,0.3,1,Wacky Races: Crash & Dash,0.27,3%,0%,90%,7%,0.01,0,1,0.02,Wii
Racing,Activision,4646,2008,0.42,1,Monster Jam: Urban Assault,0.39,0%,0%,93%,7%,0,0,1,0.03,Wii
Racing,"Warner Bros, Interactive Entertainment",4759,2008,0.41,1,Speed Racer: The Videogame,0.36,5%,0%,88%,7%,0.02,0,1,0.03,Wii
Racing,THQ,5401,2008,0.34,1,"MX vs, ATV Untamed",0.29,9%,0%,85%,9%,0.03,0,1,0.03,Wii
Racing,Ubisoft,4146,2008,0.48,1,Emergency Heroes,0.15,56%,0%,31%,13%,0.27,0,1,0.06,Wii
Racing,Electronic Arts,3026,2008,0.67,1,Need For Speed: Undercover,0.27,48%,0%,40%,10%,0.32,0,1,0.07,Wii
Racing,System 3 Arcade Software,3700,2008,0.54,1,System 3 presents Ferrari Challenge Trofeo Pirelli,0.07,74%,0%,13%,13%,0.4,0,1,0.07,Wii
Racing,Sega,2230,2008,0.93,1,Sonic Riders: Zero Gravity,0.5,34%,2%,54%,11%,0.32,0.02,1,0.1,Wii
Racing,XS Games,16100,2009,0.01,1,Super PickUps,0.01,0%,0%,100%,0%,0,0,1,0,Wii
Racing,Zoo Games,13882,2009,0.04,1,Glacier2,0.04,0%,0%,100%,0%,0,0,1,0,Wii
Racing,Nordic Games,15899,2009,0.02,1,Truck Racer,0,50%,0%,0%,0%,0.01,0,1,0,Wii
Racing,Nordic Games,13074,2009,0.05,1,Kart Racer,0.03,20%,0%,60%,0%,0.01,0,1,0,Wii
Racing,System 3 Arcade Software,15015,2009,0.02,1,Ferrari Challenge Trofeo Pirelli Deluxe,0,100%,0%,0%,0%,0.02,0,1,0,Wii
Racing,Valcon Games,11054,2009,0.09,1,Ski-Doo Snowmobile Challenge,0.08,0%,0%,89%,11%,0,0,1,0.01,Wii
Racing,Zoo Games,11245,2009,0.09,1,Build 'n Race,0.08,0%,0%,89%,11%,0,0,1,0.01,Wii
Racing,Zushi Games,9840,2009,0.12,1,Dodge Racing: Charger vs Challenger,0.11,0%,0%,92%,8%,0,0,1,0.01,Wii
Racing,Activision,7981,2009,0.19,1,Hot Wheels: Battle Force 5,0.17,0%,0%,89%,5%,0,0,1,0.01,Wii
Racing,Ubisoft,7854,2009,0.19,1,Monster 4x4: Stunt Racer,0.18,0%,0%,95%,5%,0,0,1,0.01,Wii
Racing,Zoo Digital Publishing,7234,2009,0.22,1,ATV Quad Kings,0.21,0%,0%,95%,5%,0,0,1,0.01,Wii
Racing,Zoo Digital Publishing,11972,2009,0.07,1,Yamaha Supercross,0.05,14%,0%,71%,14%,0.01,0,1,0.01,Wii
Racing,Konami Digital Entertainment,10477,2009,0.1,1,Yu-Gi-Oh! 5D's Wheelie Breakers,0.09,10%,0%,90%,10%,0.01,0,1,0.01,Wii
Racing,Bethesda Softworks,11808,2009,0.07,1,Speed Zone,0.01,71%,0%,14%,14%,0.05,0,1,0.01,Wii
Racing,Nintendo,6259,2009,0.28,1,ExciteBots: Trick Racing,0.26,0%,0%,93%,7%,0,0,1,0.02,Wii
Racing,Zoo Games,4737,2009,0.41,1,Monster Trucks Mayhem,0.39,0%,0%,95%,5%,0,0,1,0.02,Wii
Racing,Capcom,7967,2009,0.19,1,MotoGP,0.05,58%,0%,26%,11%,0.11,0,1,0.02,Wii
Racing,Electronic Arts,4553,2009,0.43,1,NASCAR Kart Racing,0.39,0%,0%,91%,7%,0,0,1,0.03,Wii
Racing,Codemasters,5043,2009,0.38,1,DiRT 2,0.11,61%,0%,29%,11%,0.23,0,1,0.04,Wii
Racing,Activision,4001,2009,0.5,1,Dreamworks Madagascar Kartz,0.29,32%,0%,58%,10%,0.16,0,1,0.05,Wii
Racing,Electronic Arts,4159,2009,0.47,1,MySims Racing,0.19,49%,0%,40%,11%,0.23,0,1,0.05,Wii
Racing,Electronic Arts,2433,2009,0.85,1,Need for Speed: Nitro,0.46,36%,0%,54%,9%,0.31,0,1,0.08,Wii
Racing,THQ,2094,2009,0.99,1,Cars: Race-O-Rama,0.61,30%,0%,62%,9%,0.3,0,1,0.09,Wii
Racing,Codemasters,2342,2009,0.89,1,F1 2009,0.15,71%,0%,17%,12%,0.63,0,1,0.11,Wii
Racing,Konami Digital Entertainment,15887,2010,0.02,1,GTI Club: Supermini Festa!,0.01,0%,0%,50%,0%,0,0,1,0,Wii
Racing,Nordic Games,14137,2010,0.03,1,Maximum Racing: Drag & Stock Racer,0.03,0%,0%,100%,0%,0,0,1,0,Wii
Racing,Nordic Games,14245,2010,0.03,1,Maximum Racing: GP Classic Racing,0.03,0%,0%,100%,0%,0,0,1,0,Wii
Racing,Storm City Games,14561,2010,0.03,1,Heathcliff! The Fast and the Furriest,0.03,0%,0%,100%,0%,0,0,1,0,Wii
Racing,Destineer,13730,2010,0.04,1,Harley-Davidson: Road Trip,0.04,0%,0%,100%,0%,0,0,1,0,Wii
Racing,Storm City Games,13487,2010,0.04,1,Honda ATV Fever,0.04,0%,0%,100%,0%,0,0,1,0,Wii
Racing,Storm City Games,12447,2010,0.06,1,Chevrolet Camaro: Wild Ride,0.06,0%,0%,100%,0%,0,0,1,0,Wii
Racing,Nordic Games,15410,2010,0.02,1,Maximum Racing: Crash Car Racer,0.01,50%,0%,50%,0%,0.01,0,1,0,Wii
Racing,Unknown,11891,2010,0.07,1,Speed,0.04,29%,0%,57%,14%,0.02,0,1,0.01,Wii
Racing,THQ,7640,2010,0.2,1,Hot Wheels: Track Attack,0.15,20%,0%,75%,5%,0.04,0,1,0.01,Wii
Racing,Disney Interactive Studios,7103,2010,0.23,1,TRON: Evolution - Battle Grids,0.18,13%,0%,78%,9%,0.03,0,1,0.02,Wii
Racing,Activision,3622,2010,0.56,1,Monster Jam: Path of Destruction,0.5,4%,0%,89%,5%,0.02,0,1,0.03,Wii
Racing,Focus Home Interactive,6931,2010,0.24,1,TrackMania: Build to Race,0.1,46%,0%,42%,13%,0.11,0,1,0.03,Wii
Racing,Electronic Arts,4126,2010,0.48,1,Need for Speed: Hot Pursuit,0.18,50%,0%,38%,10%,0.24,0,1,0.05,Wii
Racing,Sega,1244,2010,1.51,1,Sonic & Sega All-Stars Racing,0.65,47%,0%,43%,10%,0.71,0,1,0.15,Wii
Racing,Big Ben Interactive,16431,2011,0.01,1,Aladdin Magic Racer,0.01,0%,0%,100%,0%,0,0,1,0,Wii
Racing,Zoo Games,14764,2011,0.03,1,Bigfoot King of Crush,0.02,0%,0%,67%,0%,0,0,1,0,Wii
Racing,Konami Digital Entertainment,11463,2011,0.08,1,Jimmie Johnson's Anything With an Engine,0.07,0%,0%,88%,13%,0,0,1,0.01,Wii
Racing,Activision,7696,2011,0.2,1,NASCAR Unleashed,0.18,0%,0%,90%,5%,0,0,1,0.01,Wii
Racing,Activision,6947,2011,0.24,1,NASCAR 2011: The Game,0.22,0%,0%,92%,4%,0,0,1,0.01,Wii
Racing,D3Publisher,9625,2011,0.13,1,Ben 10 Galactic Racing,0.08,23%,0%,62%,8%,0.03,0,1,0.01,Wii
Racing,Activision,8894,2011,0.15,1,DreamWorks Super Star Kartz,0.1,27%,0%,67%,7%,0.04,0,1,0.01,Wii
Racing,Ubisoft,8178,2011,0.18,1,Driver: San Francisco,0.06,50%,0%,33%,11%,0.09,0,1,0.02,Wii
Racing,Disney Interactive Studios,2182,2011,0.95,1,Cars 2,0.46,41%,0%,48%,11%,0.39,0,1,0.1,Wii
Racing,Mastertronic,16124,2012,0.01,1,Turbo Trainz,0,100%,0%,0%,0%,0.01,0,1,0,Wii
Racing,Sega,3795,2012,0.53,1,Sonic & All-Stars Racing Transformed,0.2,51%,4%,38%,9%,0.27,0.02,1,0.05,WiiU
Racing,Electronic Arts,6151,2013,0.28,1,Need for Speed: Most Wanted,0.14,43%,0%,50%,7%,0.12,0,1,0.02,WiiU
Racing,Focus Home Interactive,12924,,0.05,1,Tour de France 2011,0,100%,0%,0%,20%,0.05,0,1,0.01,X360
Racing,Black Bean Games,9694,,0.12,1,WRC: FIA World Rally Championship,0,83%,0%,0%,17%,0.1,0,1,0.02,X360
Racing,Atari,2949,,0.69,1,Test Drive Unlimited 2,0.3,46%,0%,43%,10%,0.32,0,1,0.07,X360
Racing,Namco Bandai Games,7592,2005,0.2,1,Ridge Racer 6,0.1,10%,35%,50%,5%,0.02,0.07,1,0.01,X360
Racing,Microsoft Game Studios,3369,2005,0.6,1,PGR3 - Project Gotham Racing 3,0.49,5%,5%,82%,8%,0.03,0.03,1,0.05,X360
Racing,Electronic Arts,1532,2005,1.29,1,Need for Speed: Most Wanted,1,13%,2%,78%,8%,0.17,0.02,1,0.1,X360
Racing,Ubisoft,10938,2006,0.09,1,Import Tuner Challenge (American sales),0.07,11%,0%,78%,11%,0.01,0,1,0.01,X360
Racing,Activision,10252,2006,0.11,1,Pimp My Ride,0.1,9%,0%,91%,9%,0.01,0,1,0.01,X360
Racing,THQ,9276,2006,0.14,1,MotoGP '06,0.11,7%,0%,79%,7%,0.01,0,1,0.01,X360
Racing,THQ,6651,2006,0.25,1,Cars,0.22,8%,0%,88%,8%,0.02,0,1,0.02,X360
Racing,Atari,5588,2006,0.32,1,Test Drive Unlimited,0.23,13%,6%,72%,9%,0.04,0.02,1,0.03,X360
Racing,Electronic Arts,3934,2006,0.51,1,Burnout Revenge,0.42,10%,0%,82%,8%,0.05,0,1,0.04,X360
Racing,Electronic Arts,1105,2006,1.66,1,Need for Speed Carbon,0.76,42%,1%,46%,11%,0.7,0.02,1,0.18,X360
Racing,Tecmo Koei,9403,2007,0.13,1,Fatal Inertia,0.12,0%,0%,92%,8%,0,0,1,0.01,X360
Racing,THQ,8985,2007,0.15,1,Cars: Mater-National Championship,0.13,0%,0%,87%,7%,0,0,1,0.01,X360
Racing,Activision,8381,2007,0.17,1,Hot Wheels: Beat That!,0.15,0%,0%,88%,6%,0,0,1,0.01,X360
Racing,Empire Interactive,10200,2007,0.11,1,FlatOut: Ultimate Carnage,0.07,27%,0%,64%,9%,0.03,0,1,0.01,X360
Racing,Activision,7600,2007,0.2,1,Monster Jam,0.18,0%,0%,90%,10%,0,0,1,0.02,X360
Racing,THQ,6682,2007,0.25,1,MotoGP '07,0.23,0%,0%,92%,8%,0,0,1,0.02,X360
Racing,Electronic Arts,6088,2007,0.29,1,NASCAR 08,0.26,0%,0%,90%,7%,0,0,1,0.02,X360
Racing,Sega,4343,2007,0.45,1,Sega Rally Revo,0.12,62%,0%,27%,11%,0.28,0,1,0.05,X360
Racing,THQ,2968,2007,0.69,1,"MX vs, ATV Untamed",0.55,12%,0%,80%,9%,0.08,0,1,0.06,X360
Racing,THQ,3154,2007,0.64,1,Stuntman: Ignition,0.25,50%,0%,39%,11%,0.32,0,1,0.07,X360
Racing,THQ,3191,2007,0.63,1,Juiced 2: Hot Import Nights,0.22,54%,0%,35%,11%,0.34,0,1,0.07,X360
Racing,Codemasters,2380,2007,0.87,1,DiRT,0.38,46%,0%,44%,10%,0.4,0,1,0.09,X360
Racing,RTL,14258,2008,0.03,1,Crash Time: Autobahn Pusuit,0.03,0%,0%,100%,0%,0,0,1,0,X360
Racing,Activision,9676,2008,0.12,1,SCORE International Baja 1000: The Official Game,0.11,8%,0%,92%,8%,0.01,0,1,0.01,X360
Racing,Black Bean Games,7422,2008,0.21,1,SBK Superbike World Championship,0.06,67%,0%,29%,5%,0.14,0,1,0.01,X360
Racing,Electronic Arts,6623,2008,0.25,1,NASCAR 09,0.23,0%,0%,92%,8%,0,0,1,0.02,X360
Racing,THQ,7677,2008,0.2,1,Baja: Edge of Control,0.12,30%,0%,60%,10%,0.06,0,1,0.02,X360
Racing,Capcom,5323,2008,0.35,1,MotoGP 08,0.11,57%,0%,31%,11%,0.2,0,1,0.04,X360
Racing,Codemasters,2374,2008,0.88,1,GRID,0.33,50%,1%,38%,10%,0.44,0.01,1,0.09,X360
Racing,Electronic Arts,1427,2008,1.36,1,Burnout Paradise,0.63,43%,1%,46%,11%,0.58,0.01,1,0.15,X360
Racing,Electronic Arts,1069,2008,1.69,1,Need For Speed: Undercover,0.79,42%,1%,47%,11%,0.71,0.01,1,0.18,X360
Racing,Zushi Games,15110,2009,0.02,1,Indianapolis 500 Evolution,0.02,0%,0%,100%,0%,0,0,1,0,X360
Racing,Valcon Games,13941,2009,0.04,1,Ski-Doo Snowmobile Challenge,0.03,0%,0%,75%,0%,0,0,1,0,X360
Racing,Black Bean Games,16095,2009,0.01,1,Superstars V8 Racing,0,100%,0%,0%,0%,0.01,0,1,0,X360
Racing,Electronic Arts,13823,2009,0.04,1,Burnout Paradise: The Ultimate Box,0,75%,0%,0%,0%,0.03,0,1,0,X360
Racing,THQ,8757,2009,0.15,1,Cars: Race-O-Rama,0.14,7%,0%,93%,7%,0.01,0,1,0.01,X360
Racing,Atari,8146,2009,0.18,1,Race Pro,0.06,50%,0%,33%,11%,0.09,0,1,0.02,X360
Racing,Activision,6743,2009,0.25,1,Dreamworks Madagascar Kartz,0.14,36%,0%,56%,8%,0.09,0,1,0.02,X360
Racing,Codemasters,5703,2009,0.31,1,Fuel,0.09,61%,0%,29%,13%,0.19,0,1,0.04,X360
Racing,Ubisoft,4294,2009,0.46,1,Vin Diesel: Wheelman,0.24,37%,0%,52%,11%,0.17,0,1,0.05,X360
Racing,THQ,2821,2009,0.73,1,"MX vs, ATV Reflex",0.52,21%,0%,71%,8%,0.15,0,1,0.06,X360
Racing,Codemasters,2553,2009,0.81,1,DiRT 2,0.32,49%,0%,40%,11%,0.4,0,1,0.09,X360
Racing,Activision,9881,2010,0.12,1,Monster Jam: Path of Destruction,0.11,0%,0%,92%,8%,0,0,1,0.01,X360
Racing,THQ,8122,2010,0.18,1,World of Outlaws: Sprint Cars,0.17,0%,0%,94%,6%,0,0,1,0.01,X360
Racing,Activision,10076,2010,0.11,1,Blood Drive,0.09,9%,0%,82%,9%,0.01,0,1,0.01,X360
Racing,Deep Silver,10627,2010,0.1,1,nail'd,0.08,20%,0%,80%,10%,0.02,0,1,0.01,X360
Racing,Konami Digital Entertainment,9023,2010,0.14,1,Adrenalin Misfits,0.12,14%,0%,86%,7%,0.02,0,1,0.01,X360
Racing,Microsoft Game Studios,13314,2010,0.05,1,Forza Motorsport 3: Ultimate Edition,0,80%,0%,0%,20%,0.04,0,1,0.01,X360
Racing,Black Bean Games,7985,2010,0.19,1,SBK X: Superbike World Championship,0.1,37%,0%,53%,11%,0.07,0,1,0.02,X360
Racing,Capcom,8337,2010,0.17,1,MotoGP 09/10,0.07,53%,0%,41%,12%,0.09,0,1,0.02,X360
Racing,Disney Interactive Studios,3318,2010,0.61,1,Split/Second,0.32,38%,0%,52%,10%,0.23,0,1,0.06,X360
Racing,Activision,3371,2010,0.6,1,Blur,0.25,47%,0%,42%,10%,0.28,0,1,0.06,X360
Racing,Sega,2577,2010,0.8,1,Sonic & SEGA All-Stars Racing with Banjo-Kazooie,0.37,44%,0%,46%,9%,0.35,0,1,0.07,X360
Racing,Sega,1894,2010,1.09,1,Sonic Free Riders,0.74,24%,0%,68%,8%,0.26,0,1,0.09,X360
Racing,Codemasters,2347,2010,0.89,1,F1 2010,0.18,66%,1%,20%,11%,0.59,0.01,1,0.1,X360
Racing,Microsoft Game Studios,1341,2010,1.44,1,Kinect Joy Ride,0.92,28%,0%,64%,8%,0.4,0,1,0.12,X360
Racing,Evolved Games,12217,2011,0.07,1,Mayhem 3D,0.06,0%,0%,86%,0%,0,0,1,0,X360
Racing,Activision,12429,2011,0.06,1,DreamWorks Super Star Kartz,0.05,17%,0%,83%,0%,0.01,0,1,0,X360
Racing,Konami Digital Entertainment,11025,2011,0.09,1,Jimmie Johnson's Anything With an Engine,0.08,0%,0%,89%,11%,0,0,1,0.01,X360
Racing,Activision,9832,2011,0.12,1,NASCAR Unleashed,0.11,0%,0%,92%,8%,0,0,1,0.01,X360
Racing,D3Publisher,10712,2011,0.1,1,Ben 10 Galactic Racing,0.07,20%,0%,70%,10%,0.02,0,1,0.01,X360
Racing,Capcom,12418,2011,0.06,1,MotoGP 10/11,0,83%,0%,0%,17%,0.05,0,1,0.01,X360
Racing,Black Bean Games,12198,2011,0.07,1,SBK 2011: FIM Superbike World Championship,0,86%,0%,0%,14%,0.06,0,1,0.01,X360
Racing,Ubisoft,11708,2011,0.08,1,WRC 2: FIA World Rally Championship,0,75%,0%,0%,13%,0.06,0,1,0.01,X360
Racing,Activision,5851,2011,0.3,1,NASCAR 2011: The Game,0.29,0%,0%,97%,7%,0,0,1,0.02,X360
Racing,Electronic Arts,4441,2011,0.44,1,Need for Speed: Shift 2 Unleashed,0.18,50%,0%,41%,9%,0.22,0,1,0.04,X360
Racing,THQ,3628,2011,0.56,1,"MX vs, ATV: Alive",0.37,25%,0%,66%,9%,0.14,0,1,0.05,X360
Racing,Disney Interactive Studios,4000,2011,0.5,1,Cars 2,0.28,34%,0%,56%,10%,0.17,0,1,0.05,X360
Racing,Ubisoft,2850,2011,0.72,1,Driver: San Francisco,0.25,54%,0%,35%,11%,0.39,0,1,0.08,X360
Racing,Codemasters,2812,2011,0.73,1,DiRT 3,0.23,56%,1%,32%,11%,0.41,0.01,1,0.08,X360
Racing,Codemasters,2802,2011,0.73,1,F1 2011,0.11,70%,1%,15%,12%,0.51,0.01,1,0.09,X360
Racing,Atari,13358,2012,0.05,1,Test Drive: Ferrari Legends,0.04,0%,0%,80%,0%,0,0,1,0,X360
Racing,Activision,10599,2012,0.1,1,NASCAR The Game: Inside Line,0.09,0%,0%,90%,10%,0,0,1,0.01,X360
Racing,Namco Bandai Games,9942,2012,0.12,1,Ridge Racer Unbounded,0.05,42%,0%,42%,8%,0.05,0,1,0.01,X360
Racing,Codemasters,6896,2012,0.24,1,DiRT Showdown,0.08,58%,0%,33%,8%,0.14,0,1,0.02,X360
Racing,Codemasters,6105,2012,0.29,1,F1 Race Stars,0.07,62%,0%,24%,10%,0.18,0,1,0.03,X360
Racing,Codemasters,3950,2012,0.5,1,F1 2012,0.1,70%,0%,20%,12%,0.35,0,1,0.06,X360
Racing,Sega,3224,2012,0.63,1,Sonic & All-Stars Racing Transformed,0.2,59%,0%,32%,10%,0.37,0,1,0.06,X360
Racing,Electronic Arts,1175,2012,1.58,1,Need for Speed: Most Wanted,0.62,51%,1%,39%,9%,0.8,0.01,1,0.15,X360
Racing,Deep Silver,12695,2013,0.06,1,Ride to Hell,0.04,17%,0%,67%,0%,0.01,0,1,0,X360
Racing,Codemasters,6056,2013,0.29,1,GRID 2,0.08,59%,0%,28%,10%,0.17,0,1,0.03,X360
Racing,Codemasters,5525,2013,0.33,1,F1 2013,0.01,85%,0%,3%,9%,0.28,0,1,0.03,X360
Racing,Electronic Arts,2480,2013,0.84,1,Need for Speed Rivals,0.37,45%,1%,44%,10%,0.38,0.01,1,0.08,X360
Racing,Deep Silver,8537,2014,0.16,1,NASCAR '14,0.15,0%,0%,94%,6%,0,0,1,0.01,X360
Racing,"Milestone S,r,l,",11090,2014,0.09,1,MotoGP 14,0.04,44%,0%,44%,11%,0.04,0,1,0.01,X360
Racing,Nordic Games,11285,2014,0.08,1,"MX vs, ATV Supercross",0.03,63%,0%,38%,13%,0.05,0,1,0.01,X360
Racing,Codemasters,10581,2014,0.1,1,GRID Autosport,0.03,60%,0%,30%,10%,0.06,0,1,0.01,X360
Racing,Codemasters,6555,2014,0.26,1,F1 2014,0.08,58%,0%,31%,8%,0.15,0,1,0.02,X360
Racing,Ubisoft,6447,2014,0.26,1,The Crew,0.06,69%,0%,23%,8%,0.18,0,1,0.02,X360
Racing,Microsoft Game Studios,2429,2014,0.85,1,Forza Horizon 2,0.35,51%,0%,41%,8%,0.43,0,1,0.07,X360
Racing,"Milestone S,r,l,",16474,2015,0.01,1,MotoGP 15,0,100%,0%,0%,0%,0.01,0,1,0,X360
Racing,"Milestone S,r,l,",15079,2015,0.02,1,Ride,0,100%,0%,0%,0%,0.02,0,1,0,X360
Racing,Unknown,12186,,0.07,1,Rayman Arena,0.05,14%,0%,71%,0%,0.01,0,1,0,XB
Racing,Electronic Arts,12321,2001,0.06,1,F1 2001,0.05,17%,0%,83%,0%,0.01,0,1,0,XB
Racing,Midway Games,9968,2001,0.12,1,Arctic Thunder,0.09,17%,0%,75%,0%,0.02,0,1,0,XB
Racing,Electronic Arts,9787,2001,0.12,1,Cel Damage,0.09,25%,0%,75%,0%,0.03,0,1,0,XB
Racing,THQ,9460,2001,0.13,1,MX 2002 Featuring Ricky Carmichael,0.1,23%,0%,77%,0%,0.03,0,1,0,XB
Racing,Eidos Interactive,8973,2001,0.15,1,Mad Dash Racing,0.11,20%,0%,73%,7%,0.03,0,1,0.01,XB
Racing,Infogrames,8082,2001,0.18,1,Test Drive Off-Road Wide Open,0.15,17%,0%,83%,6%,0.03,0,1,0.01,XB
Racing,Infogrames,7516,2001,0.2,1,NASCAR Heat 2002,0.15,20%,0%,75%,5%,0.04,0,1,0.01,XB
Racing,Gathering of Developers,6903,2001,0.24,1,4x4 EVO 2,0.18,21%,0%,75%,4%,0.05,0,1,0.01,XB
Racing,Electronic Arts,5480,2001,0.33,1,NASCAR Thunder 2002,0.25,21%,0%,76%,3%,0.07,0,1,0.01,XB
Racing,Electronic Arts,1980,2001,1.05,1,The Simpsons: Road Rage,0.78,25%,0%,74%,1%,0.26,0,1,0.01,XB
Racing,Empire Interactive,15897,2002,0.02,1,Antz Extreme Racing,0.01,0%,0%,50%,0%,0,0,1,0,XB
Racing,Empire Interactive,15051,2002,0.02,1,Total Immersion Racing,0.02,50%,0%,100%,0%,0.01,0,1,0,XB
Racing,Konami Digital Entertainment,14631,2002,0.03,1,Whiteout,0.02,33%,0%,67%,0%,0.01,0,1,0,XB
Racing,Codemasters,13867,2002,0.04,1,Colin McRae Rally 3,0.03,25%,0%,75%,0%,0.01,0,1,0,XB
Racing,Namco Bandai Games,14002,2002,0.04,1,Smashing Drive,0.03,25%,0%,75%,0%,0.01,0,1,0,XB
Racing,Activision,12998,2002,0.05,1,Rally Fusion: Race of Champions,0.04,20%,0%,80%,0%,0.01,0,1,0,XB
Racing,Microsoft Game Studios,11839,2002,0.07,1,Maximum Chase,0.05,29%,0%,71%,0%,0.02,0,1,0,XB
Racing,Rage Software,11951,2002,0.07,1,Totaled!,0.05,29%,0%,71%,0%,0.02,0,1,0,XB
Racing,THQ,11882,2002,0.07,1,Circus Maximus: Chariot Wars,0.05,29%,0%,71%,0%,0.02,0,1,0,XB
Racing,THQ,10874,2002,0.09,1,MotoGP,0.07,22%,0%,78%,0%,0.02,0,1,0,XB
Racing,THQ,10808,2002,0.1,1,MX SuperFly featuring Ricky Carmichael,0.07,20%,0%,70%,0%,0.02,0,1,0,XB
Racing,Atari,10005,2002,0.11,1,SplashDown,0.09,18%,0%,82%,0%,0.02,0,1,0,XB
Racing,Acclaim Entertainment,9623,2002,0.13,1,Burnout,0.09,23%,0%,69%,0%,0.03,0,1,0,XB
Racing,BAM! Entertainment,9768,2002,0.12,1,Chase: Hollywood Stunt Driver,0.09,25%,0%,75%,0%,0.03,0,1,0,XB
Racing,Microsoft Game Studios,9645,2002,0.13,1,Quantum Redshift,0.09,23%,0%,69%,0%,0.03,0,1,0,XB
Racing,Microsoft Game Studios,16328,2002,0.01,1,RalliSport Challenge(JP sales),0,0%,100%,0%,0%,0,0.01,1,0,XB
Racing,Empire Interactive,7741,2002,0.19,1,Big Mutha Truckers,0.15,21%,0%,79%,5%,0.04,0,1,0.01,XB
Racing,Electronic Arts,6376,2002,0.27,1,NASCAR Thunder 2003,0.2,22%,0%,74%,4%,0.06,0,1,0.01,XB
Racing,Midway Games,5417,2002,0.34,1,Spy Hunter,0.25,21%,0%,74%,3%,0.07,0,1,0.01,XB
Racing,Sega,7529,2002,0.2,1,Crazy Taxi 3: High Roller,0.14,20%,10%,70%,5%,0.04,0.02,1,0.01,XB
Racing,Sega,7968,2002,0.19,1,Sega GT 2002,0.12,16%,16%,63%,5%,0.03,0.03,1,0.01,XB
Racing,Atari,4619,2002,0.42,1,Test Drive,0.35,12%,0%,83%,5%,0.05,0,1,0.02,XB
Racing,Microsoft Game Studios,3551,2002,0.57,1,RalliSport Challenge,0.39,28%,0%,68%,4%,0.16,0,1,0.02,XB
Racing,Activision,3545,2002,0.57,1,Wreckless: ThE YaKuza MisSiOns,0.42,19%,4%,74%,4%,0.11,0.02,1,0.02,XB
Racing,Electronic Arts,2514,2002,0.82,1,Need for Speed: Hot Pursuit 2,0.68,13%,0%,83%,4%,0.11,0,1,0.03,XB
